Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[SamplingRuntime.dll]",1,0,"0,11","0,00",
"[SearchFolder.dll]",1,0,"0,11","0,00",
"[sechost.dll]",3,0,"0,32","0,00",
"[SHDOCVW.dll]",2,0,"0,21","0,00",
"[StructuredQuery.dll]",2,0,"0,21","0,00",
"[thumbcache.dll]",1,0,"0,11","0,00",
"[xmllite.dll]",1,0,"0,11","0,00",
"Bio.Algorithms.MUMmer.MummerDnaAlphabet..cctor()",1,0,"0,11","0,00",
"Bio.Algorithms.MUMmer.MummerDnaAlphabet..ctor()",1,0,"0,11","0,00",
"Bio.AmbiguousDnaAlphabet..cctor()",1,0,"0,11","0,00",
"Bio.AmbiguousDnaAlphabet..ctor()",1,0,"0,11","0,00",
"Bio.DnaAlphabet..cctor()",1,0,"0,11","0,00",
"Bio.DnaAlphabet..ctor()",1,0,"0,11","0,00",
"Bio.DnaAlphabet.<AddNucleotide>b__2(uint8)",1,0,"0,11","0,00",
"Bio.DnaAlphabet.AddNucleotide(uint8,string,uint8[])",1,0,"0,11","0,00",
"Bio.IO.AppliedBiosystems.Ab1Parser..ctor()",2,0,"0,21","0,00",
"Bio.IO.FastA.FastAParser.<Parse>d__0.MoveNext()",1,0,"0,11","0,00",
"Bio.IO.FastA.FastAParser.get_Name()",1,0,"0,11","0,00",
"Bio.IO.Properties.Resources.get_SFF_Name()",1,0,"0,11","0,00",
"Bio.IO.SequenceFormatters..cctor()",1,0,"0,11","0,00",
"Bio.IO.SequenceFormatters.GetSequenceFormatters()",1,0,"0,11","0,00",
"Bio.IO.SequenceParsers..cctor()",59,0,"6,21","0,00",
"Bio.IO.SequenceParsers.<>c__DisplayClass11.<>c__DisplayClass13.<GetSequenceParsers>b__f(class Bio.IO.ISequenceParser)",2,0,"0,21","0,00",
"Bio.IO.SequenceParsers.<>c__DisplayClass11.<GetSequenceParsers>b__e(class Bio.IO.ISequenceParser)",2,0,"0,21","0,00",
"Bio.IO.SequenceParsers.GetSequenceParsers()",59,0,"6,21","0,00",
"Bio.IO.SFF.SFFParser.get_Name()",1,0,"0,11","0,00",
"Bio.Properties.Resource.get_FastAName()",1,0,"0,11","0,00",
"Bio.Registration.RegisteredAddIn.Compose(string,string,string)",57,0,"6,00","0,00",
"Bio.Registration.RegisteredAddIn.GetCatalogForDirectoryFileSpec(string,string)",47,0,"4,95","0,00",
"Bio.Registration.RegisteredAddIn.GetComposedInstancesFromAssemblyPath(string,string,string)",58,0,"6,11","0,00",
"FirstFloor.ModernUI.Presentation.AppearanceManager.ApplyAccentColor(valuetype System.Windows.Media.Color)",2,0,"0,21","0,00",
"FirstFloor.ModernUI.Presentation.AppearanceManager.set_AccentColor(valuetype System.Windows.Media.Color)",5,0,"0,53","0,00",
"FirstFloor.ModernUI.Presentation.AppearanceManager.set_ThemeSource(class System.Uri)",4,0,"0,42","0,00",
"FirstFloor.ModernUI.Presentation.AppearanceManager.SetThemeSource(class System.Uri,bool)",8,0,"0,84","0,00",
"FirstFloor.ModernUI.Presentation.CommandBase.Execute(object)",1,0,"0,11","0,00",
"FirstFloor.ModernUI.Presentation.RelayCommand.OnExecute(object)",1,0,"0,11","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernDialog.ShowMessage(string,string,valuetype System.Windows.MessageBoxButton,class System.Windows.Window)",19,0,"2,00","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernFrame.<>c__DisplayClassc.<Navigate>b__7(class System.Threading.Tasks.Task`1<object>)",6,0,"0,63","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernFrame.Navigate(class System.Uri,class System.Uri,valuetype FirstFloor.ModernUI.Windows.Navigation.NavigationType)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernFrame.OnSourceChanged(class System.Uri,class System.Uri)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernFrame.OnSourceChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernFrame.SetContent(class System.Uri,valuetype FirstFloor.ModernUI.Windows.Navigation.NavigationType,object,bool)",12,0,"1,26","0,00",
